,t,EAG1,EAG3,EAG4,EAG2,Solenoid
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,-0.005859375,-0.0029296875,0.017578125,0.005859375,-1.5029296875
2,0.02,-0.0205078125,0.0029296875,-0.0087890625,-0.005859375,-1.5087890625
3,0.03,-0.0234375,-0.0029296875,-0.0029296875,-0.005859375,-1.505859375
4,0.04,-0.0263671875,-0.0029296875,-0.01171875,-0.005859375,-1.5146484375
5,0.05,-0.029296875,-0.0087890625,0.0,0.0,-1.5087890625
6,0.06,-0.0380859375,-0.0087890625,-0.005859375,0.0087890625,-1.505859375
7,0.07,-0.0380859375,0.0,0.0087890625,0.0029296875,-1.5087890625
8,0.08,-0.0263671875,-0.005859375,0.005859375,0.0087890625,-1.5087890625
9,0.09,-0.0087890625,-0.0087890625,0.0087890625,0.0087890625,-1.5087890625
10,0.1,0.0029296875,-0.0029296875,0.0087890625,0.005859375,-1.5087890625
11,0.11,0.0087890625,0.0029296875,-0.005859375,0.0,-1.505859375
12,0.12,0.0146484375,-0.005859375,-0.01171875,0.0029296875,-1.5146484375
13,0.13,0.005859375,0.0,-0.01171875,0.0146484375,-1.505859375
14,0.14,0.0,0.0,-0.0146484375,0.0234375,-1.51171875
15,0.15,-0.0146484375,0.0029296875,-0.005859375,0.017578125,-1.5087890625
16,0.16,-0.0205078125,0.0029296875,0.0,0.0234375,-1.5087890625
17,0.17,-0.0205078125,0.0029296875,-0.0029296875,0.0322265625,-1.505859375
18,0.18,-0.0205078125,0.0029296875,-0.01171875,0.0439453125,-1.51171875
19,0.19,-0.0205078125,0.0087890625,-0.0029296875,0.0498046875,-1.5029296875
20,0.2,-0.03515625,0.0029296875,-0.005859375,0.0439453125,-1.505859375
21,0.21,-0.0703125,0.0029296875,-0.0087890625,0.0498046875,-1.5087890625
22,0.22,-0.087890625,0.0,-0.005859375,0.05859375,-1.5087890625
23,0.23,-0.10546875,-0.005859375,0.0,0.064453125,-1.505859375
24,0.24,-0.0966796875,-0.0029296875,-0.005859375,0.08203125,-1.505859375
25,0.25,-0.0849609375,0.0,-0.0029296875,0.0849609375,-1.5029296875
26,0.26,-0.0703125,0.005859375,-0.0087890625,0.0908203125,-1.5087890625
27,0.27,-0.0556640625,0.0087890625,-0.01171875,0.0849609375,-1.5087890625
28,0.28,-0.064453125,0.0087890625,-0.0087890625,0.08203125,-1.51171875
29,0.29,-0.0791015625,0.0087890625,-0.005859375,0.076171875,-1.5087890625
30,0.3,-0.0791015625,0.0,-0.0029296875,0.0849609375,-1.5029296875
31,0.31,-0.0703125,0.0,0.0,0.0908203125,-1.5087890625
32,0.32,-0.0498046875,0.0029296875,0.005859375,0.0908203125,-1.51171875
33,0.33,-0.05859375,0.005859375,-0.0029296875,0.0908203125,-1.5087890625
34,0.34,-0.064453125,-0.0029296875,-0.0029296875,0.0966796875,-1.5087890625
35,0.35000000000000003,-0.0703125,0.0,-0.005859375,0.10546875,-1.505859375
36,0.36,-0.052734375,0.0029296875,-0.0029296875,0.1083984375,-1.5087890625
37,0.37,-0.0439453125,-0.0146484375,0.0,0.111328125,-1.5087890625
38,0.38,-0.03515625,-0.0146484375,0.0,0.1171875,-1.5087890625
39,0.39,-0.0263671875,-0.0087890625,-0.0087890625,0.1201171875,-1.51171875
40,0.4,-0.0380859375,-0.005859375,-0.01171875,0.1142578125,-1.505859375
41,0.41000000000000003,-0.046875,-0.0029296875,-0.0087890625,0.1142578125,-1.51171875
42,0.42,-0.041015625,-0.0029296875,-0.0029296875,0.1142578125,-1.5087890625
43,0.43,-0.0380859375,0.0029296875,-0.005859375,0.1083984375,-1.5087890625
44,0.44,-0.0322265625,-0.0029296875,-0.0029296875,0.111328125,-1.5087890625
45,0.45,-0.0380859375,-0.0087890625,0.0,0.1083984375,-1.505859375
46,0.46,-0.0380859375,0.0,0.01171875,0.1083984375,-1.5087890625
47,0.47000000000000003,-0.029296875,-0.005859375,0.01171875,0.1083984375,-1.5087890625
48,0.48,-0.0498046875,-0.01171875,0.0146484375,0.111328125,-1.5087890625
49,0.49,-0.046875,-0.0146484375,0.0146484375,0.10546875,-1.5087890625
50,0.5,-0.046875,-0.0205078125,0.0087890625,0.10546875,-1.5146484375
51,0.51,-0.041015625,-0.005859375,0.0029296875,0.1025390625,-1.5087890625
52,0.52,-0.0439453125,-0.0029296875,-0.0029296875,0.1025390625,-1.505859375
53,0.53,-0.0380859375,0.005859375,0.0,0.1025390625,-1.505859375
54,0.54,-0.0380859375,0.0,-0.0029296875,0.0966796875,-1.5146484375
55,0.55,-0.0322265625,0.005859375,-0.005859375,0.10546875,-1.505859375
56,0.56,-0.0380859375,-0.005859375,0.0029296875,0.111328125,-1.51171875
57,0.5700000000000001,-0.0322265625,-0.005859375,0.0087890625,0.111328125,-1.505859375
58,0.58,-0.03515625,-0.0146484375,0.0087890625,0.10546875,-1.51171875
59,0.59,-0.0380859375,-0.017578125,0.0087890625,0.0966796875,-1.5146484375
60,0.6,-0.029296875,-0.017578125,0.0087890625,0.0908203125,-1.5087890625
61,0.61,-0.0322265625,-0.0205078125,0.0,0.09375,-1.5087890625
62,0.62,-0.0263671875,-0.0146484375,-0.0029296875,0.09375,-1.51171875
63,0.63,-0.0263671875,-0.0087890625,0.0,0.08203125,-1.5087890625
64,0.64,-0.0263671875,-0.005859375,-0.0087890625,0.0703125,-1.5087890625
65,0.65,-0.0146484375,-0.0029296875,-0.005859375,0.0556640625,-1.505859375
66,0.66,-0.0234375,-0.0205078125,0.0029296875,0.0556640625,-1.5029296875
67,0.67,-0.0205078125,-0.01171875,0.005859375,0.05859375,-1.51171875
68,0.68,-0.01171875,-0.0087890625,0.0146484375,0.0615234375,-1.5087890625
69,0.6900000000000001,-0.0146484375,-0.0029296875,0.01171875,0.05859375,-1.5087890625
70,0.7000000000000001,-0.0234375,0.005859375,0.0,0.05859375,-1.5087890625
71,0.71,-0.029296875,0.0029296875,-0.005859375,0.052734375,-1.5087890625
72,0.72,-0.0263671875,0.0029296875,-0.0029296875,0.052734375,-1.5087890625
73,0.73,-0.0234375,0.0029296875,0.0,0.046875,-1.5087890625
74,0.74,-0.0146484375,0.005859375,0.0087890625,0.0439453125,-1.5029296875
75,0.75,-0.0146484375,0.0146484375,0.01171875,0.041015625,-1.5
76,0.76,-0.0146484375,0.0,0.0029296875,0.0439453125,-1.505859375
77,0.77,-0.0087890625,0.0087890625,-0.0029296875,0.03515625,-1.505859375
78,0.78,-0.0029296875,0.0,0.0087890625,0.0322265625,-1.51171875
79,0.79,-0.0205078125,-0.0029296875,0.005859375,0.029296875,-1.505859375
80,0.8,-0.03515625,0.0029296875,-0.0029296875,0.0234375,-1.5087890625
