,t,EAG1,EAG3,EAG4,EAG2,Solenoid
77,0.77,0.0,0.0205078125,0.01171875,-0.046875,-1.505859375
78,0.78,0.005859375,0.0087890625,0.0029296875,-0.0498046875,-1.51171875
79,0.79,0.0087890625,0.0,-0.005859375,-0.046875,-1.5087890625
80,0.8,0.0029296875,-0.0029296875,-0.0087890625,-0.0498046875,-1.5087890625
81,0.81,-0.0029296875,-0.01171875,-0.0087890625,-0.0498046875,-1.5087890625
82,0.8200000000000001,-0.017578125,-0.017578125,-0.005859375,-0.052734375,-1.505859375
83,0.8300000000000001,-0.0263671875,-0.005859375,-0.0029296875,-0.0498046875,-1.5087890625
84,0.84,-0.029296875,0.005859375,-0.0087890625,-0.046875,-1.5087890625
85,0.85,-0.041015625,0.005859375,-0.0087890625,-0.0439453125,-1.5087890625
86,0.86,-0.0380859375,-0.0087890625,-0.0087890625,-0.03515625,-1.5087890625
87,0.87,-0.046875,-0.01171875,-0.0087890625,-0.029296875,-1.5146484375
88,0.88,-0.052734375,-0.0205078125,-0.0087890625,-0.0322265625,-1.505859375
89,0.89,-0.0673828125,-0.0205078125,-0.005859375,-0.0205078125,-1.505859375
90,0.9,-0.05859375,-0.0263671875,-0.0087890625,-0.0234375,-1.505859375
91,0.91,-0.0556640625,-0.0205078125,-0.0146484375,-0.0263671875,-1.51171875
92,0.92,-0.0380859375,-0.017578125,-0.0146484375,-0.029296875,-1.5087890625
93,0.93,-0.0263671875,-0.0205078125,-0.0087890625,-0.0322265625,-1.5
94,0.9400000000000001,-0.0234375,-0.0263671875,-0.005859375,-0.0380859375,-1.51171875
95,0.9500000000000001,-0.03515625,-0.01171875,0.0,-0.0322265625,-1.51171875
96,0.96,-0.046875,-0.0087890625,-0.0029296875,-0.0234375,-1.505859375
97,0.97,-0.046875,-0.0087890625,-0.005859375,-0.017578125,-1.505859375
98,0.98,-0.0498046875,-0.0087890625,-0.0029296875,-0.0263671875,-1.505859375
99,0.99,-0.0439453125,-0.0146484375,0.0,-0.03515625,-1.505859375
100,1.0,-0.046875,-0.0146484375,0.0087890625,-0.03515625,-1.505859375
101,1.01,-0.0439453125,-0.01171875,0.0087890625,-0.0380859375,-1.505859375
102,1.02,-0.0380859375,-0.005859375,0.017578125,-0.041015625,-1.5146484375
103,1.03,-0.0380859375,0.0,0.0087890625,-0.041015625,-1.5029296875
104,1.04,-0.029296875,0.0,0.0,-0.0439453125,-1.505859375
105,1.05,-0.0380859375,0.0,-0.0087890625,-0.03515625,-1.505859375
106,1.06,-0.03515625,-0.0029296875,-0.0087890625,-0.046875,-1.505859375
107,1.07,-0.0380859375,-0.0029296875,-0.0029296875,-0.046875,-1.505859375
108,1.08,-0.029296875,-0.0029296875,-0.01171875,-0.0556640625,-1.5087890625
109,1.09,-0.03515625,0.005859375,-0.01171875,-0.0556640625,-1.5146484375
110,1.1,-0.03515625,-0.0029296875,-0.0087890625,-0.05859375,-1.5146484375
111,1.11,-0.0205078125,0.0087890625,-0.005859375,-0.052734375,-1.505859375
112,1.12,-0.01171875,0.01171875,-0.0087890625,-0.052734375,-1.5087890625
113,1.1300000000000001,0.0,0.017578125,-0.0146484375,-0.046875,-1.505859375
114,1.1400000000000001,0.0,0.005859375,-0.0146484375,-0.0439453125,-1.505859375
115,1.1500000000000001,-0.005859375,0.0029296875,-0.0146484375,-0.052734375,-1.51171875
116,1.16,-0.005859375,0.005859375,-0.01171875,-0.05859375,-1.5087890625
117,1.17,-0.005859375,0.0,0.0,-0.05859375,-1.51171875
118,1.18,-0.0087890625,0.0,-0.0029296875,-0.064453125,-1.5087890625
119,1.19,-0.0087890625,0.0029296875,0.0029296875,-0.0732421875,-1.5087890625
120,1.2,-0.01171875,0.0,-0.0029296875,-0.0732421875,-1.505859375
121,1.21,-0.0234375,-0.0029296875,0.0,-0.064453125,-1.51171875
122,1.22,-0.029296875,-0.005859375,0.0,-0.05859375,-1.5087890625
123,1.23,-0.0322265625,-0.017578125,-0.0029296875,-0.0498046875,-1.505859375
124,1.24,-0.03515625,-0.005859375,-0.005859375,-0.0498046875,-1.5087890625
125,1.25,-0.0380859375,-0.0087890625,-0.01171875,-0.046875,-1.5087890625
126,1.26,-0.0380859375,-0.0146484375,-0.0087890625,-0.052734375,-1.5087890625
127,1.27,-0.0322265625,-0.0087890625,-0.01171875,-0.0439453125,-1.5087890625
128,1.28,-0.041015625,-0.0029296875,-0.0087890625,-0.046875,-1.5087890625
129,1.29,-0.046875,0.0,-0.01171875,-0.041015625,-1.5087890625
